readname	contig	position	leader_start	adapter_start	polya_start	linker_start	polya2_start	transcript_start	read_rate	polya_length	qc_tag	polya1_length	polya2_length	linker_length
86adaa19-314e-4907-92c1-2cc9a7e11077	BNT162b2	86	99.0	383.0	6478.0	8581.0	8817.0	9793.0	103.86	99.21	PASS	67.48	28.62	3.10
330304ef-cd32-4997-b74f-48f0af3a5c76	BNT162b2	25	2.0	3.0	3978.0	7314.0	7658.0	8907.0	94.12	138.94	SUFFCLIP	99.22	34.00	5.72
f09994c3-a203-4a8c-9477-ba6853bd4490	BNT162b2	86	2.0	3.0	8186.0	10049.0	10239.0	11317.0	107.57	96.71	SUFFCLIP	61.50	33.46	1.75
548cd5e5-39a9-4337-89e0-631edc1eea75	BNT162b2	25	2.0	3.0	5567.0	7718.0	8067.0	9201.0	115.85	124.65	SUFFCLIP	77.69	38.58	8.38
6d6dfd28-81f5-4531-aa5e-64bd2245c3b8	BNT162b2	86	52.0	257.0	5755.0	7967.0	8202.0	9451.0	103.86	112.34	SUFFCLIP	71.24	38.03	3.07
28fc1493-803b-425c-8acd-8b5c5f1ed15b	BNT162b2	79	2.0	3.0	7965.0	10437.0	10723.0	11655.0	107.57	116.68	SUFFCLIP	83.25	28.25	5.18
a415a341-84ea-48e6-9488-419a2da249e6	BNT162b2	99	2.0	3.0	6287.0	8719.0	8945.0	9957.0	115.85	126.04	SUFFCLIP	88.50	33.88	3.65
89616bdf-b47c-45f5-a5ce-34b1dc50e9fa	BNT162b2	79	201.0	493.0	4928.0	7065.0	7307.0	8482.0	103.86	107.45	SUFFCLIP	68.66	35.48	3.31
ba9f585a-fd0e-4ca2-8292-2d3283351330	BNT162b2	86	2.0	3.0	6859.0	9236.0	9389.0	10379.0	100.40	102.23	SUFFCLIP	74.20	27.97	0.07
18f8558a-b070-464c-b39e-24f5a8219aff	BNT162b2	101	2.0	3.0	5229.0	7142.0	7344.0	8274.0	100.40	86.40	SUFFCLIP	58.73	25.97	1.70
00e72a46-12a3-4ed0-b869-ea7e181437d9	BNT162b2	110	302.0	873.0	9125.0	11521.0	11840.0	13345.0	103.86	130.41	SUFFCLIP	77.59	46.86	5.97
c72c13bd-84f6-4d7c-b5e2-a85f337da9a7	BNT162b2	206	2.0	3.0	4735.0	6703.0	6881.0	7915.0	125.50	117.37	PASS	76.96	38.04	2.37
e2d87dae-7517-469c-92c1-a628a9a5cba3	BNT162b2	263	361.0	825.0	6394.0	8099.0	8294.0	9442.0	103.86	90.00	PASS	53.76	34.55	1.69
557fbc69-0219-47e2-a325-6c5e537347ea	BNT162b2	281	2.0	3.0	4124.0	5938.0	6194.0	7051.0	125.50	106.83	SUFFCLIP	70.54	30.67	5.62
476e1df3-653d-4949-9850-bc55d3dfafe3	BNT162b2	150	176.0	395.0	5665.0	7733.0	8096.0	9097.0	100.40	99.30	PASS	63.90	28.33	7.07
c5608964-9b91-4b41-9343-e54859f1cace	BNT162b2	332	2.0	3.0	4003.0	6251.0	6388.0	7366.0	120.48	119.40	PASS	84.88	34.08	0.44
62749bbe-ea15-4af7-8c8c-6a26dcb9daff	BNT162b2	356	2.0	3.0	5923.0	7896.0	8091.0	8988.0	120.48	107.48	SUFFCLIP	73.88	30.84	2.76
0188e89e-a76c-4d28-9835-17b97d0652f5	BNT162b2	491	2.0	3.0	5185.0	7444.0	7667.0	8638.0	120.48	123.00	SUFFCLIP	85.32	33.80	3.88
97445ea6-ec11-40f2-a8ec-cfff8fd1fc43	BNT162b2	384	2.0	3.0	3999.0	5937.0	6156.0	7138.0	115.85	105.62	SUFFCLIP	69.50	32.73	3.38
f81bb808-bf3e-44fc-b7ab-cd329b13d584	BNT162b2	656	3.0	4.0	5185.0	7563.0	7838.0	8792.0	125.50	135.17	SUFFCLIP	94.04	34.71	6.42
8f60951b-c2d4-443f-8762-8edd902d2bd9	BNT162b2	578	195.0	362.0	3854.0	6003.0	6242.0	7363.0	107.57	110.21	SUFFCLIP	71.71	35.00	3.50
ab12607b-3877-4cc8-8001-2fc38d950d05	BNT162b2	782	2.0	3.0	4856.0	6688.0	6965.0	7814.0	120.48	103.20	SUFFCLIP	68.24	28.92	6.04
b4528908-47e1-413c-be16-02c1b6a8842e	BNT162b2	780	2.0	3.0	8501.0	11384.0	11651.0	12451.0	103.86	121.10	SUFFCLIP	94.38	22.55	4.17
fc6c06cb-06a0-4824-8cd8-144f9de3fa16	BNT162b2	1165	2.0	3.0	6143.0	7753.0	8004.0	9071.0	115.85	97.50	PASS	56.88	36.00	4.62
e74d7aad-bd36-4d3e-b4de-b0bf2b5c0b72	BNT162b2	1040	2.0	3.0	5308.0	7611.0	7918.0	9281.0	97.16	113.06	SUFFCLIP	69.26	38.94	4.87
ac14e077-3079-4598-a0b4-af3e8f495845	BNT162b2	1229	3.0	4.0	4193.0	5988.0	6324.0	7274.0	120.48	108.12	SUFFCLIP	66.76	32.96	8.40
daccb864-3166-426a-9fd6-c191566bebc4	BNT162b2	524	509.0	1130.0	7067.0	9080.0	9316.0	10441.0	100.40	97.37	SUFFCLIP	62.07	32.47	2.83
88cae462-f71e-48d7-9474-9cf4aa8b0d9b	BNT162b2	1232	2.0	3.0	7129.0	9356.0	9501.0	10943.0	120.48	137.44	SUFFCLIP	84.04	52.64	0.76
47cf1dcf-c543-4620-9932-184b2058a0d8	BNT162b2	854	2.0	3.0	15517.0	17470.0	17693.0	18866.0	91.27	86.39	ADAPTER	54.15	30.52	1.73
2868b701-5fb7-4268-b26a-0d8866118365	BNT162b2	1239	2.0	3.0	5390.0	7387.0	7728.0	9019.0	107.57	114.50	SUFFCLIP	66.29	41.07	7.14
22b5a7c3-f919-48b2-8f6d-76ec66d7e5d1	BNT162b2	1290	2.0	3.0	8729.0	11302.0	11439.0	12454.0	103.86	113.66	ADAPTER	83.69	29.97	0.00
fb7ba564-17e9-4ce7-81e8-4a7e9a3b7615	BNT162b2	1429	2.0	3.0	5870.0	7502.0	7615.0	8784.0	125.50	106.62	SUFFCLIP	62.96	43.67	0.00
6a884434-cf35-4c6c-a9b3-4ca80c8b353e	BNT162b2	1340	2.0	3.0	7888.0	9834.0	10056.0	11197.0	107.57	103.07	SUFFCLIP	64.46	35.71	2.89
283267d1-5247-41ad-abd3-b933cc483c88	BNT162b2	1290	336.0	785.0	6140.0	8203.0	8423.0	9384.0	94.12	86.28	SUFFCLIP	59.44	25.00	1.84
4f84afdd-7e18-4cce-a333-62352cf08d28	BNT162b2	1466	2.0	3.0	5738.0	7569.0	7751.0	8977.0	100.40	92.87	SUFFCLIP	56.00	35.83	1.03
9fd33f80-afd0-49e9-ba90-8856937eb718	BNT162b2	1614	2.0	3.0	5334.0	7264.0	7443.0	8812.0	120.48	124.00	SUFFCLIP	72.16	49.72	2.12
1deb94cd-0000-4eb8-a8c6-e7479ea756a2	BNT162b2	1591	3.0	4.0	6663.0	8551.0	8793.0	9848.0	103.86	94.72	SUFFCLIP	60.07	31.34	3.31
3965da64-36fc-48b4-b4c5-41ade90d0cf4	BNT162b2	1611	439.0	854.0	6291.0	8310.0	8512.0	9302.0	100.40	85.27	SUFFCLIP	62.27	21.30	1.70
987b03a3-524d-4a4f-b7e9-1f5633be4e0c	BNT162b2	1557	204.0	544.0	5711.0	7279.0	7465.0	8658.0	115.85	98.23	PASS	55.27	40.85	2.12
212de42c-dd73-44fb-8d1d-670a8b2c9a68	BNT162b2	1537	2.0	3.0	8662.0	10961.0	11221.0	12615.0	97.16	112.42	SUFFCLIP	69.13	39.94	3.35
881b3c4c-e78f-4f5e-ba9a-3092c5daba2a	BNT162b2	1471	2.0	3.0	5905.0	7901.0	8139.0	9002.0	111.56	99.59	SUFFCLIP	68.89	26.93	3.78
f78d910d-62b1-4a50-8438-d3cecffd4ab5	BNT162b2	1614	2.0	3.0	4147.0	5456.0	5653.0	7028.0	120.48	100.12	SUFFCLIP	47.32	49.96	2.84
6d21664c-979f-4e1c-94b6-4ed0a7f0367c	BNT162b2	1625	2.0	3.0	6599.0	8439.0	8632.0	9622.0	125.50	110.83	SUFFCLIP	71.62	36.21	3.00
2c4ad15a-2752-4c04-afba-17462aca8fa8	BNT162b2	1627	2.0	3.0	4355.0	6299.0	6492.0	7536.0	125.50	117.42	PASS	75.96	38.46	3.00
b46676a6-33a2-4d49-b192-bf1a1fefd448	BNT162b2	1657	2.0	3.0	5052.0	7169.0	7282.0	8729.0	115.85	127.00	SUFFCLIP	76.38	50.62	0.00
5bdacf9c-536e-4322-8a18-cf39f01738f3	BNT162b2	1863	2.0	3.0	7399.0	9348.0	9563.0	11138.0	125.50	140.67	ADAPTER	76.17	60.58	3.92
c569f264-fdc5-4f9d-bdd0-06d2d6c3329d	BNT162b2	1706	2.0	3.0	9260.0	11528.0	11757.0	12659.0	107.57	106.29	ADAPTER	75.96	27.18	3.14
c86babe2-b28e-4426-a38f-53f20e3e70f9	BNT162b2	1704	2.0	3.0	5356.0	7831.0	8062.0	9120.0	107.57	119.32	SUFFCLIP	83.36	32.75	3.21
