readname	contig	position	leader_start	adapter_start	mod_start	polya_start	transcript_start	read_rate	polya_length	qc_tag	mod_qc_tag	mod_length
5ac17d5d-d35a-45a2-b223-17223b998b38	mRNA-1273	11	2.0	3.0	4910.0	5057.0	7577.0	125.50	99.96	PASS	CUAG	1.1
e9efb6a0-dcef-4cbc-9af7-1cfd1a26cd84	mRNA-1273	11	2.0	3.0	364.0	2356.0	2651.0	111.56	5.89	PASS	CUAG	68.7
02c2f57c-2d75-4bc4-9981-e27f46cfd22d	mRNA-1273	11	2.0	3.0	4590.0	4782.0	6964.0	115.85	78.88	SUFFCLIP	CUAG	2.3
3736a349-552b-4be2-a032-c5927d251b21	mRNA-1273	13	8.0	196.0	349.0	7301.0	7824.0	100.40	12.40	PASS	CUAG	226.7
5da4ed98-c74a-4062-922d-f5baa8865922	mRNA-1273	12	2.0	3.0	4822.0	5010.0	7739.0	125.50	108.67	SUFFCLIP	CUAG	2.8
12aee467-6639-4ca0-bfb9-e48c0799902e	mRNA-1273	13	2.0	6.0	1040.0	2649.0	2870.0	91.27	1.67	PASS	CUAG	43.7
ff7c0bcb-b2a7-4fc1-aa2a-e3e7ab267377	mRNA-1273	11	2.0	3.0	6837.0	6837.0	10600.0	111.56	134.33	SUFFCLIP	NONE	0.0
cd18e6da-a82c-418a-b296-3a03ee1ccd88	mRNA-1273	11	2.0	3.0	4441.0	4634.0	7186.0	120.48	97.04	PASS	CUAG	2.7
92d9f1b7-c391-46da-b201-b0418dc3e04d	mRNA-1273	11	2.0	3.0	5638.0	5778.0	9575.0	115.85	141.00	PASS	CUAG	0.3
eb4b3b85-9719-43b2-9202-2516bb2679a6	mRNA-1273	11	2.0	3.0	5923.0	6083.0	8985.0	115.85	106.58	SUFFCLIP	CUAG	1.1
118ed23a-e99f-420f-9fca-be7d11a5e3f5	mRNA-1273	12	2.0	3.0	8089.0	8089.0	10911.0	103.86	92.28	SUFFCLIP	NONE	0.0
46cf0ea1-d47f-4f38-8018-4d2beeaffd72	mRNA-1273	12	322.0	757.0	4224.0	4224.0	5331.0	103.86	33.14	PASS	NONE	0.0
667263ab-e882-4f08-8055-105d74e82100	mRNA-1273	189	63.0	73.0	490.0	1909.0	2020.0	136.91	0.00	PASS	CUAG	59.5
93dd266a-a2fa-4f1e-abd1-eb998907ff59	mRNA-1273	12	2.0	3.0	8264.0	8348.0	12501.0	91.27	120.82	SUFFCLIP	CUAG	0.0
073ecd59-89db-4ca3-92a0-2072b4ac77f2	mRNA-1273	79	2.0	3.0	35.0	4361.0	4976.0	100.40	15.47	PASS	CUAG	139.2
daa01103-1e74-435c-a42c-4a7558f6b1bb	mRNA-1273	13	4.0	5.0	8005.0	8118.0	11639.0	103.86	116.38	SUFFCLIP	CUAG	0.0
7e347e56-dfa2-4b6d-834d-d6106b0e9627	mRNA-1273	80	3.0	145.0	280.0	869.0	1059.0	100.40	1.30	PASS	CUAG	14.6
9c1261ac-c8c1-4b35-9388-400b3f4a77e7	mRNA-1273	15	2.0	3.0	5025.0	5208.0	10725.0	91.27	162.15	PASS	CUAG	0.5
5583e0cf-9cfa-4892-9bc2-88c508e7cfe7	mRNA-1273	16	18.0	295.0	437.0	561.0	634.0	100.40	0.00	SUFFCLIP	CUAG	0.0
f5461c45-afdf-4729-8a19-b84e26bbb9e3	mRNA-1273	168	2.0	3.0	3334.0	4353.0	7244.0	111.56	102.04	SUFFCLIP	CUAG	32.7
8b9b5507-ce99-4438-a1c8-996272a619d9	mRNA-1273	266	159.0	327.0	3931.0	4088.0	7464.0	115.85	124.81	SUFFCLIP	CUAG	1.0
c726f977-3c45-4bad-8cb5-074e2ce7e63a	mRNA-1273	189	300.0	595.0	7993.0	8197.0	10669.0	100.40	77.37	PASS	CUAG	1.8
42e501c6-91ec-4855-bc58-b01e452f5a2e	mRNA-1273	493	2.0	3.0	4844.0	5003.0	7711.0	125.50	107.79	SUFFCLIP	CUAG	1.6
cc5fa56c-b378-4e4d-b017-5c4749018dc4	mRNA-1273	384	218.0	477.0	5510.0	5510.0	8842.0	115.85	123.12	SUFFCLIP	NONE	0.0
303fec3a-989c-481d-ad67-98f6dcee9cb5	mRNA-1273	272	376.0	1152.0	8333.0	8462.0	11063.0	103.86	84.66	PASS	CUAG	0.0
c8c747c2-a526-476b-bf58-efb947d8c9e4	mRNA-1273	294	2.0	3.0	7573.0	7702.0	10165.0	103.86	79.90	PASS	CUAG	0.0
da14ed6f-f3cc-41a8-bf0b-db84c174b2d5	mRNA-1273	618	2.0	3.0	6352.0	6434.0	8780.0	120.48	88.80	SUFFCLIP	CUAG	0.0
adbf0542-e670-4ebf-aa5c-7b47ceb09f24	mRNA-1273	492	2.0	3.0	9986.0	10225.0	13168.0	100.40	93.07	ADAPTER	CUAG	2.9
c239c346-f24f-440b-9225-2377fdbad1b0	mRNA-1273	694	2.0	3.0	6812.0	6997.0	13965.0	120.48	273.68	SUFFCLIP	CUAG	2.4
43c04acf-d7fa-4dbc-a115-60f752b2de8d	mRNA-1273	495	2.0	3.0	9082.0	9246.0	12505.0	100.40	103.60	ADAPTER	CUAG	0.4
db7ff9a5-fbe1-450c-bc1e-cc92369251ae	mRNA-1273	879	2.0	3.0	5723.0	5936.0	8744.0	120.48	107.28	SUFFCLIP	CUAG	3.5
739afff6-d9d5-4866-a5f0-cd632c316e1e	mRNA-1273	985	2.0	3.0	4.0	145.0	285.0	97.16	0.00	NOREGION	CUAG	0.0
cd42c192-4508-44c1-be43-572dc6f609a4	mRNA-1273	713	2.0	3.0	6019.0	6019.0	9157.0	100.40	99.57	PASS	NONE	0.0
5dd77562-cdb4-4e73-95f1-872c23af35bf	mRNA-1273	1260	2.0	3.0	3696.0	3696.0	6148.0	130.96	101.57	SUFFCLIP	NONE	0.0
d3d4de0b-3283-40a2-ad17-83533f0290a7	mRNA-1273	927	120.0	471.0	6797.0	6797.0	9945.0	107.57	107.39	PASS	NONE	0.0
e7a2f46c-86fb-4931-a758-50fdd6a04274	mRNA-1273	1083	2.0	3.0	9916.0	10145.0	13707.0	100.40	113.70	ADAPTER	CUAG	2.6
8d925088-d7d2-4414-8b98-d644830f943c	mRNA-1273	983	2.0	3.0	8182.0	8375.0	11140.0	100.40	87.13	SUFFCLIP	CUAG	1.4
00b1db53-49d1-42ca-b2c8-3ea31bd772b5	mRNA-1273	1098	2.0	3.0	3942.0	3942.0	7435.0	111.56	124.33	PASS	NONE	0.0
